Year,type,school,loan,enroll,loanavg,tuition
2012,3,Hickey College,3754658,500,7509,24487
2013,3,Hickey College,3395336,396,8574,25409
2014,3,Hickey College,3553167,372,9552,24784
2010,1,Jefferson College,0,5788,0,12753
2011,1,Jefferson College,9114688,6192,1472,12753
2012,1,Jefferson College,10210190,6079,1680,12980
2013,1,Jefferson College,8915593,5494,1623,11804
2014,1,Jefferson College,7540023,5194,1452,11948
2010,2,Kansas City Art Institute,0,690,0,43790
2011,2,Kansas City Art Institute,4304012,739,5824,45466
2012,2,Kansas City Art Institute,4150627,771,5383,46384
2013,2,Kansas City Art Institute,4623038,822,5624,47708
2014,2,Kansas City Art Institute,4246020,739,5746,50362
2010,1,Lincoln University,94949,3116,30,12374
2011,1,Lincoln University,13902000,3159,4401,15370
2012,1,Lincoln University,15010754,3192,4703,15800
2013,1,Lincoln University,13577269,3013,4506,1647
2014,1,Lincoln University,13382638,2892,4627,16421
2010,2,Lindenwood University,1270479,6788,187,35700
2011,2,Lindenwood University,43334486,7596,5705,36150
2012,2,Lindenwood University,44906639,7814,5747,30560
2013,2,Lindenwood University,45078639,8296,5434,30380
2014,2,Lindenwood University,44181063,8453,5227,31140
2010,2,Midwestern Baptist Theological Seminary,0,306,0,19410
2011,2,Midwestern Baptist Theological Seminary,428359,254,1686,14537
2012,2,Midwestern Baptist Theological Seminary,621645,330,1884,13110
2013,2,Midwestern Baptist Theological Seminary,686569,249,2757,15989
2014,2,Midwestern Baptist Theological Seminary,737489,261,2826,15679
2010,2,Missouri Baptist University,249063,3413,73,34740
2011,2,Missouri Baptist University,10300217,3688,2793,34740
2012,2,Missouri Baptist University,10808665,3831,2821,34190
2013,2,Missouri Baptist University,10656931,3850,2768,31700
2014,2,Missouri Baptist University,10581897,3950,2679,33313
2010,1,Missouri Southern State University,19888530,5639,3527,13980
2011,1,Missouri Southern State University,21195117,5751,3685,13980
2012,1,Missouri Southern State University,22337156,5536,4035,14648
2013,1,Missouri Southern State University,22073320,5351,4125,14942
2014,1,Missouri Southern State University,21855725,5587,3912,15370
2010,1,Missouri State University _ Springfield,3080606,17024,181,16628
2011,1,Missouri State University _ Springfield,59167063,17205,3439,17250
2012,1,Missouri State University _ Springfield,62831093,17187,3656,17820
2013,1,Missouri State University _ Springfield,64870399,17434,3721,19117
2014,1,Missouri State University _ Springfield,66250479,18027,3675,19251
2010,1,Missouri State University-West Plains,42481,2162,20,14958
2011,1,Missouri State University-West Plains,4181717,2219,1885,1617
2012,1,Missouri State University-West Plains,4157411,2142,1941,16292
2013,1,Missouri State University-West Plains,4049473,2102,1926,16598
2014,1,Missouri State University-West Plains,3901591,2123,1838,1726
2010,1,Missouri University of Science and Technology,455134,5206,87,20446
2011,1,Missouri University of Science and Technology,19952349,5503,3626,21230
2012,1,Missouri University of Science and Technology,21043302,5671,3711,21838
2013,1,Missouri University of Science and Technology,20577210,5841,3523,22102
2014,1,Missouri University of Science and Technology,20988620,6145,3416,21798
2010,1,Northwest Missouri State University,26630865,6051,4401,15753
2011,1,Northwest Missouri State University,24404604,6193,3941,16288
2012,1,Northwest Missouri State University,25704617,6281,4092,16990
2013,1,Northwest Missouri State University,24724321,6014,4111,17005
2014,1,Northwest Missouri State University,23089506,5542,4166,17376
2010,2,Park University,1434484,12061,119,19114
2011,2,Park University,30565120,11247,2718,20443
2012,2,Park University,36059372,10996,3279,21685
2013,2,Park University,37101455,10981,3379,22158
2014,2,Park University,34045387,10198,3338,23248
2010,2,Rockhurst University,467714,2120,221,37898
2011,2,Rockhurst University,6600751,2107,3133,39863
2012,2,Rockhurst University,6817230,2130,3201,41513
2013,2,Rockhurst University,7388542,2160,3421,42933
2014,2,Rockhurst University,6887313,2241,3073,45235
2010,2,Saint Louis Christian College,17185,333,52,23210
2011,2,Saint Louis Christian College,1748940,337,5190,26760
2012,2,Saint Louis Christian College,1708633,292,5851,2961
2013,2,Saint Louis Christian College,1484464,246,6034,28581
2014,2,Saint Louis Christian College,1497652,245,6113,16295
2010,2,Saint Louis University,9697586,11159,869,48460
2011,2,Saint Louis University,31999692,12404,2580,49990
2012,2,Saint Louis University,33040545,12531,2637,5296
2013,2,Saint Louis University,33370829,12513,2667,53448
2014,2,Saint Louis University,31425235,12567,2501,53438
2010,1,Southeast Missouri State University,1519539,9530,159,16435
2011,1,Southeast Missouri State University,35460223,9956,3562,17283
2012,1,Southeast Missouri State University,37336870,10254,3641,17882
2013,1,Southeast Missouri State University,38047576,10413,3654,18744
2014,1,Southeast Missouri State University,37072066,10605,3496,19211
2010,2,Southwest Baptist University,136950,2924,47,25000
2011,2,Southwest Baptist University,11824405,2942,4019,26500
2012,2,Southwest Baptist University,11829244,2872,4119,27750
2013,2,Southwest Baptist University,11918982,3009,3961,29000
2014,2,Southwest Baptist University,11543407,2962,3897,30340
2010,1,State Fair Community College,0,4263,0,11895
2011,1,State Fair Community College,10132660,4823,2101,11630
2012,1,State Fair Community College,12649924,5073,2494,11818
2013,1,State Fair Community College,10590859,5115,2071,12400
2014,1,State Fair Community College,10672161,5185,2058,12265
2010,2,Stephens College,1884907,967,1949,3800
2011,2,Stephens College,4733856,864,5479,39130
2012,2,Stephens College,4096467,783,5232,40350
2013,2,Stephens College,4259389,673,6329,41286
2014,2,Stephens College,3755391,647,5804,42424
2010,1,Truman State University,663088,5468,121,18820
2011,1,Truman State University,14949421,5675,2634,18472
2012,1,Truman State University,16087897,5780,2783,18998
2013,1,Truman State University,15827001,5872,2695,19406
2014,1,Truman State University,15172252,5898,2572,19568
2010,1,University of Central Missouri,49738292,9088,5473,16255
2011,1,University of Central Missouri,41072193,9168,4480,16405
2012,1,University of Central Missouri,45024615,9466,4756,18579
2013,1,University of Central Missouri,46217986,9683,4773,18355
2014,1,University of Central Missouri,44446897,9974,4456,18799
2010,1,University of Missouri _ Kansas City,101615207,9381,10832,20741
2011,1,University of Missouri _ Kansas City,42805585,9850,4346,21288
2012,1,University of Missouri _ Kansas City,42910635,10122,4239,21874
2013,1,University of Missouri _ Kansas City,41546399,10614,3914,22387
2014,1,University of Missouri _ Kansas City,39504242,10227,3863,22943
2010,1,University of Missouri _ St Louis,2912160,12966,225,24943
2011,1,University of Missouri _ St Louis,52775060,13171,4007,25956
2012,1,University of Missouri _ St Louis,52565150,13151,3997,26846
2013,1,University of Missouri _ St Louis,50335963,13335,3775,26476
2014,1,University of Missouri _ St Louis,48375454,13569,3565,28396
2010,1,University of Missouri-Columbia,130858137,23799,5498,26725
2011,1,University of Missouri-Columbia,84934004,24834,3420,27641
2012,1,University of Missouri-Columbia,88379116,25992,3400,27788
2013,1,University of Missouri-Columbia,86973336,26960,3226,24780
2014,1,University of Missouri-Columbia,84352016,26928,3133,24322
2010,2,Wentworth Military Academy and Junior College,77661,940,83,32630
2011,2,Wentworth Military Academy and Junior College,1052116,939,1120,32705
2012,2,Wentworth Military Academy and Junior College,1463394,925,1582,32705
2013,2,Wentworth Military Academy and Junior College,1561500,860,1816,32705
2014,2,Wentworth Military Academy and Junior College,1537776,851,1807,32705
2010,2,Westminster College,6665,1087,6,29100
2011,2,Westminster College,4254824,1167,3646,3120
2012,2,Westminster College,4377503,1116,3922,32500
2013,2,Westminster College,4356343,1092,3989,33400
2014,2,Westminster College,4113573,1026,4009,34800
2010,2,William Jewell College,3750,1083,3,36240
2011,2,William Jewell College,5048247,1060,4762,40890
2012,2,William Jewell College,5163105,1060,4871,41860
2013,2,William Jewell College,5338183,1052,5074,42790
2014,2,William Jewell College,5205643,1044,4986,43820
2010,2,William Woods University,865605,1100,787,30460
2011,2,William Woods University,5181113,1130,4585,31400
2012,2,William Woods University,4775716,1046,4566,32700
2013,2,William Woods University,4454848,1079,4129,33950
2014,2,William Woods University,4373116,1002,4364,35250
